InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1059,,Product 59,4,2024-05-13,28.47,55204,Australia
INV1060,STK558,Product 60,12,2024-03-16,70.08,64153,UK
INV1061,STK307,Product 61,10,2024-09-17,38.01,31156,France
INV1062,,Product 62,19,2024-02-27,76.52,21223,UK
INV1063,STK437,Product 63,18,2024-09-22,46.6,39838,Canada
INV1064,,Product 64,19,2024-03-10,6.37,35483,Canada
INV1065,,Product 65,7,2024-03-08,26.28,69735,USA
INV1066,STK545,Product 66,1,2024-01-14,39.38,13444,France
INV1067,,Product 67,13,2024-12-06,90.15,36172,Germany
INV1068,STK576,Product 68,3,2024-06-22,22.6,11948,France
INV1069,STK647,Product 69,18,2024-02-15,53.33,67225,Canada
INV1070,,Product 70,9,2024-12-04,37.31,38163,Canada
INV1071,STK852,Product 71,11,2024-02-03,40.21,89639,Germany
INV1072,,Product 72,6,2024-08-27,75.57,10753,USA
INV1073,STK221,Product 73,1,2024-10-13,97.38,44824,USA
INV1074,,Product 74,7,2024-11-17,8.29,53728,Australia
INV1075,STK938,Product 75,4,2024-09-09,88.95,56144,Australia
INV1076,STK641,Product 76,19,2024-06-06,31.42,74578,UK
INV1077,,Product 77,7,2024-06-01,59.59,78516,France
INV1078,STK706,Product 78,15,2024-07-02,85.42,49717,UK
INV1079,,Product 79,12,2024-11-13,18.26,99646,USA
INV1080,,Product 80,17,2024-06-10,10.52,65141,USA
INV1081,,Product 81,7,2024-08-19,23.24,55124,Australia
INV1082,STK265,Product 82,6,2024-09-03,63.86,31052,France
INV1083,STK939,Product 83,3,2024-07-12,49.89,56899,UK
INV1084,STK560,Product 84,18,2024-10-02,95.36,78354,Australia
INV1085,STK404,Product 85,11,2024-03-19,22.23,92024,France
INV1086,,Product 86,17,2024-03-13,28.33,70058,USA
INV1087,,Product 87,15,2024-12-09,14.67,35512,Germany
INV1088,STK189,Product 88,16,2024-04-10,13.46,51346,Australia
INV1089,STK240,Product 89,15,2024-07-09,27.39,65359,Canada
INV1090,STK209,Product 90,13,2024-03-01,14.37,91062,UK
INV1091,,Product 91,8,2024-01-04,91.69,24649,France
INV1092,,Product 92,3,2024-10-20,7.81,90094,Australia
INV1093,,Product 93,1,2024-08-19,54.82,82172,Australia
INV1094,STK401,Product 94,11,2024-11-02,97.38,33389,Australia
INV1095,STK660,Product 95,1,2024-11-13,85.14,64663,Germany
INV1096,STK524,Product 96,16,2024-03-09,80.82,87104,UK
INV1097,,Product 97,18,2024-05-20,24.62,64568,UK
INV1098,,Product 98,10,2024-06-23,81.7,95571,USA
INV1099,STK414,Product 99,12,2024-07-08,16.91,97157,USA
