Country,WeekNum,NumInvoices,TotalQuantity,InvoiceValue
Canada,33,33,3041,32980.95
USA,8,40,3660,27881.86
USA,44,12,939,14026.02
Canada,15,46,1595,16303.69
Australia,44,31,2516,48117.0
Canada,44,29,1749,31531.8
Germany,39,47,2689,39551.21
Canada,22,19,4237,35704.21
Germany,46,12,210,3828.77
Canada,42,6,3182,49652.71
Australia,25,37,3881,40025.21
France,34,38,1486,38317.47
Australia,1,24,1857,33921.14
France,43,12,2639,33297.81
UK,12,43,2795,16897.25
UK,13,9,4244,16055.32
USA,24,28,314,5352.03
UK,52,18,4532,48279.47
Canada,6,29,873,2376.78
USA,16,45,1855,4268.88
USA,41,27,190,10359.89
Germany,24,43,2822,38519.42
Canada,50,14,1021,10107.24
Australia,2,44,4937,40797.67
UK,48,48,4640,37171.19
UK,18,39,2818,4423.03
France,7,18,888,11747.34
Australia,29,32,602,46377.28
Germany,19,44,4912,8323.89
USA,33,28,2324,4967.47
Canada,4,33,472,20770.16
USA,40,44,3466,13542.01
Canada,44,8,3838,11133.5
USA,23,37,918,34694.19
France,40,9,213,25524.9
Germany,20,8,765,17341.06
USA,18,42,2909,22096.16
USA,3,32,2349,8158.96
France,40,6,333,3219.21
Canada,27,13,4391,23600.13
Germany,34,14,3278,35389.1
France,22,31,188,33316.27
Canada,14,34,1853,38210.04
France,28,32,4076,5010.82
UK,11,47,714,18012.18
France,43,39,1767,26986.33
Germany,50,14,252,12460.28
Canada,18,27,469,34537.48
Germany,21,13,438,47838.75
Canada,21,10,3400,4048.53
Germany,11,47,3342,5015.11
Germany,30,49,915,4988.01
France,25,46,3492,7444.84
USA,33,44,2946,28547.87
UK,34,39,2379,40450.54
France,8,38,1741,19579.02
Australia,17,6,4135,6922.26
USA,4,16,3472,15539.37
UK,45,27,317,38974.99
France,17,16,2949,39540.93
Australia,42,6,4635,27658.94
Germany,3,13,1893,31564.39
France,20,32,4341,24527.13
Germany,48,20,908,38079.06
Australia,9,37,1624,27658.94
USA,51,44,157,12277.45
France,22,17,4479,30694.23
USA,2,9,2102,23881.11
Germany,6,21,2533,30397.57
Germany,48,38,2604,9610.31
Australia,41,41,2993,31558.07
UK,9,24,1851,49838.57
France,9,32,3282,46946.69
France,17,5,3048,42335.82
UK,3,30,3638,39471.44
France,52,48,2456,45766.46
Canada,38,48,3853,8799.97
Germany,41,31,2300,39687.36
Australia,25,9,3239,6922.26
France,20,49,3384,19756.45
UK,1,6,4783,18836.42
Australia,47,9,2440,3370.0
UK,36,39,2073,8136.33
USA,46,36,3819,22769.46
USA,17,13,3961,1894.16
Australia,13,31,3008,21237.4
Canada,13,23,501,18008.76
Australia,4,25,3604,6922.26
Germany,2,25,1916,23609.98
USA,43,50,716,49849.62
USA,50,26,3657,30774.93
USA,18,41,3018,35095.25
USA,48,40,4872,4548.65
France,18,32,141,25503.44
France,20,5,1991,42242.05
Germany,40,38,1068,6421.07
